name,totalCount,newsCount,webCount,bookCount,newsgroupCount,magazineCount,journalCount,interviewCount,conferenceCount,enpediaCount,podcastCount,pressReCount,reportCount,thesisCount,speechCount,episodeCount,mediaCount,mediaNoCount,checkCount,newsWebCount,newsPoliCount,newsPoliUpdate
Chuck_Grassley,173,82,86,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,172,163,90.0,90.0
Mitch_McConnell,245,130,80,26,0,5,4,0,0,0,0,0,0,0,0,0,0,0,245,198,146.0,146.0
Dianne_Feinstein,145,84,54,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,144,126,59.0,59.0
Patty_Murray,76,36,35,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,76,56,21.0,21.0
Ron_Wyden,161,87,71,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,161,142,75.0,75.0
Dick_Durbin,154,57,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,153,123,50.0,50.0
Jack_Reed,37,21,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,31,12.0,12.0
Susan_Collins,256,139,105,1,0,3,0,2,0,0,0,5,0,0,0,0,1,0,253,227,139.0,139.0
Chuck_Schumer,281,162,114,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,280,244,156.0,156.0
Mike_Crapo,48,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,12.0,12.0
Tom_Carper,63,27,28,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,62,50,21.0,21.0
Debbie_Stabenow,127,71,47,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,127,98,29.0,29.0
Maria_Cantwell,122,51,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122,97,12.0,12.0
John_Cornyn,141,47,83,5,0,3,1,0,0,0,0,1,0,0,0,1,0,0,140,113,58.0,58.0
Lisa_Murkowski,90,43,45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,78,36.0,36.0
Lindsey_Graham,258,100,150,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,256,236,171.0,171.0
John_Thune,123,48,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,108,69.0,69.0
Bob_Menendez,183,83,97,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183,160,55.0,55.0
Ben_Cardin,82,43,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,70,20.0,20.0
Bernie_Sanders,512,270,194,18,0,18,4,0,0,0,0,5,0,0,0,0,2,0,509,441,278.0,278.0
Sherrod_Brown,154,65,83,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,154,135,50.0,50.0
Bob_Casey_Jr.,146,72,70,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,145,117,26.0,26.0
Amy_Klobuchar,125,49,68,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,125,104,37.0,37.0
Sheldon_Whitehouse,69,36,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,56,34.0,34.0
Jon_Tester,94,42,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,87,40.0,40.0
John_Barrasso,58,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,47,27.0,27.0
Roger_Wicker,84,19,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,84,73,28.0,28.0
Jeanne_Shaheen,59,31,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,56,17.0,17.0
Mark_Warner,113,37,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,103,45.0,45.0
Jim_Risch,61,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,42,14.0,14.0
Jeff_Merkley,125,80,38,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,125,97,51.0,51.0
Michael_Bennet,119,56,56,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,119,103,36.0,36.0
Kirsten_Gillibrand,155,70,73,2,0,4,3,0,0,0,0,2,0,0,0,0,0,0,154,126,73.0,73.0
Joe_Manchin,303,133,159,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,303,259,134.0,134.0
Chris_Coons,88,39,46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,87,74,39.0,39.0
Jerry_Moran,86,29,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,71,22.0,22.0
John_Boozman,77,10,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,63,15.0,15.0
John_Hoeven,46,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,37,11.0,11.0
Marco_Rubio,220,117,97,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,220,205,132.0,132.0
Ron_Johnson,157,68,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157,147,84.0,84.0
Rand_Paul,377,165,182,3,0,13,1,0,0,0,0,10,0,0,0,2,0,0,374,326,228.0,228.0
Richard_Blumenthal,196,119,67,1,0,2,3,0,0,0,0,4,0,0,0,0,0,0,196,177,64.0,64.0
Mike_Lee,119,50,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119,106,59.0,59.0
Brian_Schatz,93,24,67,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,93,66,14.0,14.0
Tim_Scott,117,50,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117,100,54.0,54.0
Tammy_Baldwin,142,71,58,1,0,4,1,0,0,0,0,0,7,0,0,0,0,0,135,120,43.0,43.0
Chris_Murphy,119,40,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118,101,31.0,31.0
Mazie_Hirono,82,29,49,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,81,66,14.0,14.0
Martin_Heinrich,74,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,60,10.0,10.0
Angus_King,144,78,63,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,142,132,32.0,32.0
Tim_Kaine,209,133,66,2,0,0,2,1,0,0,0,5,0,0,0,0,0,0,208,190,117.0,117.0
Ted_Cruz,386,235,137,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,384,356,205.0,205.0
Elizabeth_Warren,266,133,90,14,0,14,12,0,0,0,0,2,0,0,0,1,0,0,265,207,140.0,140.0
Deb_Fischer,25,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,4.0,4.0
Ed_Markey,150,81,65,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,150,131,53.0,53.0
Cory_Booker,226,84,131,2,0,5,1,3,0,0,0,0,0,0,0,0,0,0,223,175,102.0,102.0
Shelley_Moore_Capito,265,72,188,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,265,224,100.0,100.0
Gary_Peters,96,36,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,76,23.0,23.0
Bill_Cassidy,70,32,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,56,25.0,25.0
James_Lankford,54,20,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,44,19.0,19.0
Tom_Cotton,198,112,75,0,0,6,1,0,0,0,0,4,0,0,0,0,0,0,198,180,119.0,119.0
Steve_Daines,102,24,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,95,31.0,31.0
Mike_Rounds,69,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,43,21.0,21.0
Thom_Tillis,136,50,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,129,62.0,62.0
Joni_Ernst,223,106,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,223,216,97.0,97.0
Ben_Sasse,110,43,61,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,109,91,48.0,48.0
Dan_Sullivan,60,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,28.0,28.0
Chris_Van_Hollen,79,28,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,63,17.0,17.0
Todd_Young,97,42,53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,82,28.0,28.0
Tammy_Duckworth,149,75,68,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,148,127,58.0,58.0
Maggie_Hassan,96,45,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,83,25.0,25.0
John_Neely_Kennedy,66,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,53,20.0,20.0
Catherine_Cortez_Masto,57,33,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,51,19.0,19.0
Tina_Smith,78,42,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,67,16.0,16.0
Cindy_Hyde-Smith,122,57,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,97,35.0,35.0
Marsha_Blackburn,124,59,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,124,110,50.0,50.0
Kyrsten_Sinema,229,87,136,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,229,203,93.0,93.0
Kevin_Cramer,111,32,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,96,42.0,42.0
Jacky_Rosen,43,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,16.0,16.0
Mitt_Romney,521,394,90,25,0,1,1,1,2,0,0,3,0,0,1,0,0,0,514,472,295.0,295.0
Mike_Braun,73,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,65,27.0,27.0
Josh_Hawley,269,115,143,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,269,238,133.0,133.0
Rick_Scott,234,128,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,234,219,94.0,94.0
Mark_Kelly,105,44,54,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,88,35.0,35.0
Ben_Ray_Luján,34,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,8.0,8.0
Cynthia_Lummis,201,190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,198,18.0,18.0
Roger_Marshall,52,23,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,39,15.0,15.0
John_Hickenlooper,131,60,60,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,130,114,31.0,31.0
Bill_Hagerty,60,39,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,52,16.0,16.0
Tommy_Tuberville,90,29,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,76,28.0,28.0
Alex_Padilla,87,21,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,74,26.0,26.0
Jon_Ossoff,137,96,35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,133,126,66.0,66.0
Raphael_Warnock,158,82,70,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,157,140,62.0,62.0
Peter_Welch,32,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,9.0,9.0
Markwayne_Mullin,64,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,47,20.0,20.0
Ted_Budd,47,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,19.0,19.0
John_Fetterman,182,74,98,0,0,5,1,0,0,0,0,1,0,0,0,1,1,0,179,158,58.0,58.0
J._D._Vance,79,61,9,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,79,68,36.0,36.0
Eric_Schmitt,113,51,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,99,24.0,24.0
Katie_Britt,57,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,46,4.0,4.0
Pete_Ricketts,45,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,34,11.0,11.0
Patrick_Leahy,227,139,76,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,227,194,110.0,110.0
Orrin_Hatch,181,68,102,4,0,4,1,0,0,0,0,2,0,0,0,0,0,0,181,150,67.0,67.0
Thad_Cochran,100,40,55,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,100,81,41.0,41.0
Richard_Shelby,102,49,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,79,45.0,45.0
John_McCain,142,87,47,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,142,120,84.0,84.0
Jim_Inhofe,151,36,106,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,149,118,47.0,47.0
Pat_Roberts,71,38,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,60,36.0,36.0
Jeff_Sessions,284,204,66,2,0,4,1,0,0,0,0,3,0,0,0,0,0,0,280,259,195.0,195.0
Mike_Enzi,147,146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,146,146,9.0,9.0
Bill_Nelson,148,60,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,132,51.0,51.0
Lamar_Alexander,89,36,45,1,0,1,3,0,0,0,0,0,2,0,1,0,0,0,86,69,25.0,25.0
Richard_Burr,132,42,85,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,131,118,61.0,61.0
Johnny_Isakson,63,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,48,12.0,12.0
Bob_Corker,164,114,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,164,140,68.0,68.0
Claire_McCaskill,106,40,60,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,105,87,45.0,45.0
Tom_Udall,44,17,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,43,35,15.0,15.0
Al_Franken,159,87,65,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,158,129,75.0,75.0
Roy_Blunt,118,38,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,105,48.0,48.0
Rob_Portman,208,120,76,3,0,3,2,0,0,1,0,3,0,0,0,0,0,0,207,181,82.0,82.0
Pat_Toomey,149,80,66,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,148,140,54.0,54.0
Dean_Heller,104,43,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,97,45.0,45.0
Jeff_Flake,114,60,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,106,59.0,59.0
Joe_Donnelly,156,77,75,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,155,138,47.0,47.0
Heidi_Heitkamp,104,59,41,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,103,89,55.0,55.0
Cory_Gardner,132,58,71,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,132,116,41.0,41.0
David_Perdue,150,68,77,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,150,137,76.0,76.0
Kamala_Harris,367,226,130,4,0,4,1,0,0,0,0,2,0,0,0,0,0,0,367,329,161.0,161.0
Luther_Strange,31,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,11.0,11.0
Doug_Jones,134,96,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,134,122,47.0,47.0
Jon_Kyl,53,21,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,43,20.0,20.0
Kelly_Loeffler,100,37,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,88,59.0,59.0
Martha_McSally,170,89,78,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,170,151,66.0,66.0
Barbara_Mikulski,59,14,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43,19.0,19.0
Harry_Reid,136,60,74,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,135,122,70.0,70.0
Barbara_Boxer,96,25,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,76,31.0,31.0
David_Vitter,172,73,97,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,172,151,40.0,40.0
Mark_Kirk,113,82,24,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,113,100,54.0,54.0
Dan_Coats,60,24,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,50,28.0,28.0
Kelly_Ayotte,142,59,76,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,141,126,39.0,39.0
John_Conyers,96,34,51,1,0,6,3,0,0,0,0,1,0,0,0,0,0,0,96,76,33.0,33.0
Charles_Rangel,186,154,15,10,0,1,0,0,0,1,0,5,0,0,0,0,0,0,185,165,105.0,105.0
Don_Young,181,57,116,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,180,158,49.0,49.0
Jim_Sensenbrenner,75,13,32,1,0,0,1,0,0,0,0,0,28,0,0,0,0,0,47,42,13.0,13.0
Hal_Rogers,65,14,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,55,15.0,15.0
Chris_Smith,108,21,85,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,108,98,27.0,27.0
Steny_Hoyer,68,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,55,26.0,26.0
Marcy_Kaptur,68,19,43,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,68,54,12.0,12.0
Sander_Levin,28,11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,5.0,5.0
Joe_Barton,93,34,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93,79,32.0,32.0
Pete_Visclosky,26,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,4.0,4.0
Peter_DeFazio,85,13,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,85,66,19.0,19.0
John_Lewis,277,99,155,11,0,6,4,0,0,0,0,1,0,0,0,1,0,0,276,191,85.0,85.0
Louise_Slaughter,51,11,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,51,31,12.0,12.0
Lamar_Smith,58,16,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,54,18.0,18.0
Fred_Upton,93,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,87,37.0,37.0
Nancy_Pelosi,333,236,69,13,0,7,1,0,0,0,0,5,0,0,0,0,0,0,331,296,207.0,207.0
Jimmy_Duncan,28,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,4.0,4.0
Frank_Pallone,33,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,11.0,11.0
Eliot_Engel,99,25,68,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,98,70,27.0,27.0
Nita_Lowey,26,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,7.0,7.0
Jim_McDermott,52,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,34,14.0,14.0
Richard_Neal,21,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,6.0,6.0
Dana_Rohrabacher,195,124,52,4,0,4,0,0,0,0,0,8,0,0,0,0,0,0,192,165,93.0,93.0
Ileana_Ros-Lehtinen,71,20,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,60,20.0,20.0
José_E._Serrano,31,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,7.0,7.0
David_Price,69,11,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,64,5.0,5.0
John_Boehner,106,55,43,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,104,91,56.0,56.0
Rosa_DeLauro,62,24,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,50,20.0,20.0
Collin_Peterson,76,17,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,65,20.0,20.0
Maxine_Waters,165,54,105,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,164,141,66.0,66.0
Sam_Johnson,56,18,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,47,10.0,10.0
Jerry_Nadler,46,19,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,41,22.0,22.0
Jim_Cooper,76,26,46,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,76,61,21.0,21.0
Xavier_Becerra,115,45,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,110,45.0,45.0
Sanford_Bishop,53,5,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,40,9.0,9.0
Corrine_Brown,48,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,39,12.0,12.0
Ken_Calvert,32,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,7.0,7.0
Jim_Clyburn,66,27,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,61,30.0,30.0
Anna_Eshoo,81,17,61,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,81,58,6.0,6.0
Bob_Goodlatte,33,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,11.0,11.0
Gene_Green,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,,0.0
Luis_Gutiérrez,74,37,33,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,74,61,26.0,26.0
Alcee_Hastings,46,16,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,41,16.0,16.0
Eddie_Bernice_Johnson,42,8,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34,12.0,12.0
Peter_T._King,128,73,50,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,128,111,60.0,60.0
Carolyn_Maloney,132,34,94,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,131,102,51.0,51.0
John_Mica,36,11,22,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,33,6.0,6.0
Lucille_Roybal-Allard,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2.0,2.0
Ed_Royce,54,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,44,21.0,21.0
Bobby_Rush,105,52,49,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,105,96,37.0,37.0
Bobby_Scott,30,12,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,7.0,7.0
Nydia_Velázquez,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2.0,2.0
Bennie_Thompson,45,18,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,38,21.0,21.0
Sam_Farr,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2.0,2.0
Frank_Lucas,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1.0,1.0
Lloyd_Doggett,63,17,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,51,16.0,16.0
Mike_Doyle,36,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,4.0,4.0
Chaka_Fattah,75,16,55,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,74,51,5.0,5.0
Rodney_Frelinghuysen,71,26,42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,60,26.0,26.0
Sheila_Jackson_Lee,69,28,36,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,58,23.0,23.0
Walter_B._Jones_Jr.,74,21,49,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,74,60,22.0,22.0
Frank_LoBiondo,29,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,4.0,4.0
Zoe_Lofgren,65,27,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,54,16.0,16.0
Mac_Thornberry,46,3,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,5.0,5.0
Ed_Whitfield,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1.0,1.0
Elijah_Cummings,68,32,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,55,21.0,21.0
Earl_Blumenauer,56,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,41,13.0,13.0
Robert_Aderholt,62,12,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,49,13.0,13.0
